Model,Approach,Mean_F1,Std_F1
RandomForest,SMOTE + Resampling,0.7755299490437928,0.15320654381368956
RandomForest,Class Weighting Only,0.7682730267086912,0.15992945116687401
XGBoost,SMOTE + Resampling,0.8801885976895321,0.1150437959894635
XGBoost,Class Weighting Only,0.8333660465787235,0.15386450539616794
